player,position,number,college
Tom Brady,QB,12,Michigan
Corey Dillon,RB,28,Cincinnati
David Givens,WR,87,Notre Dame
Deion Branch,WR,83,Louisville
Daniel Graham,TE,82,Colorado
Matt Light,OT,72,Purdue
Joe Andruzzi,OG,63,Southern Connecticut
Dan Koppen,C,67,Boston College
Tom Ashworth,OT,69,Colorado
Richard Seymour,DE,93,Georgia
Vince Wilfork,DT,75,Miami
Tedy Bruschi,LB,54,Arizona
Willie McGinest,LB,55,USC
Mike Vrabel,LB,50,Ohio State
Ty Law,CB,24,Michigan
Rodney Harrison,S,37,Western Illinois
Adam Vinatieri,K,4,South Dakota State
Troy Brown,WR,80,Marshall
Kevin Faulk,RB,33,LSU
Bethel Johnson,WR,81,Texas A&M
