# source: pro-football-reference.com -- tom brady 2004 game log
# regular season + playoffs + super bowl
week,opponent,comp,att,yards,tds,ints,rating,result
1,Indianapolis Colts,28,38,335,3,1,116.6,W
2,Arizona Cardinals,17,26,230,1,0,105.9,W
3,Buffalo Bills,21,30,219,2,0,113.7,W
4,Miami Dolphins,21,31,271,1,0,99.6,W
5,Pittsburgh Steelers,14,31,163,0,2,41.4,L
6,Seattle Seahawks,16,21,231,2,1,116.7,W
7,New York Jets,10,19,83,1,0,86.8,W
9,St. Louis Rams,30,43,313,4,0,121.1,W
10,Kansas City Chiefs,26,38,315,3,0,118.4,W
11,Buffalo Bills,21,33,256,2,0,106.7,W
12,Baltimore Ravens,19,26,257,1,0,108.2,W
13,Cleveland Browns,21,28,261,4,1,131.4,W
14,Cincinnati Bengals,22,33,260,3,2,101.4,W
15,Miami Dolphins,21,30,226,2,2,91.7,L
16,New York Jets,22,29,264,2,1,105.0,W
17,San Francisco 49ers,17,27,209,0,1,69.8,W
18,Indianapolis Colts (Div),18,27,144,1,1,80.3,W
19,Pittsburgh Steelers (AFC),22,33,207,2,1,97.7,W
20,Philadelphia Eagles (SB),23,33,236,2,0,110.2,W
