# source: pro-football-reference.com -- 2004 new england patriots roster
# verified: super bowl xxxix champions, season record 14-2
name,number,position,years_with_patriots
Tom Brady,12,QB,5
Corey Dillon,28,RB,1
Kevin Faulk,33,RB,7
Patrick Pass,38,RB,4
David Givens,87,WR,3
Deion Branch,83,WR,3
David Patten,86,WR,4
Troy Brown,80,WR,10
Daniel Graham,82,TE,3
Christian Fauria,88,TE,2
Mike Vrabel,50,LB,6
Tedy Bruschi,54,LB,9
Willie McGinest,55,LB,11
Rodney Harrison,37,S,2
Ty Law,24,CB,10
Adam Vinatieri,4,K,9
Richard Seymour,93,DE,4
Vince Wilfork,75,DT,1
Asante Samuel,22,CB,3
Eugene Wilson,26,S,2
